slug,name,logo_url,website_url,tagline,contact_links,date_created,tech_tags,topic_tags,categories,program_slug,logo_bg_color,description_html,ideas_list_url
beagleboardorg,BeagleBoard.org,https://summerofcode.withgoogle.com/media/org/beagleboardorg/4w6td6bjy31ei9v2-360.png,https://www.beagleboard.org,Open hardware computing for educators and makers,"[{'name': 'chat', 'value': 'https://bbb.io/gsocchat'}, {'name': 'mailingList', 'value': 'https://bbb.io/gsocml'}, {'name': 'email', 'value': 'gsoc@beagleboard.org'}, {'name': 'twitter', 'value': 'https://twitter.com/beagleboardorg'}, {'name': 'blog', 'value': 'https://www.beagleboard.org/blog'}]",2022-03-08T14:42:57.859332Z,"['linux', 'fpga', 'risc-v', 'dsp', 'Zephyr RTOS']","['robotics', 'iot', 'ai', 'software defined radio', 'Personal Server']","['Science and medicine', 'Infrastructure and cloud']",2022,,"Enabling individuals to define the connected devices in their lives, BeagleBoard.org is the open-source, community-driven hardware precursor to Raspberry Pi, continuing to improve performance, access and openness for embedded development. The community is diverse with many professional developers utilizing the open source designs to build production solutions. Supported by a non-profit foundation, the community seeks to improve access to technology for making embedded devices using open source software and hardware. On-going developments include open designs around DSP/AI/ML accelerators, RISC-V cores, FPGA-based open hardware developement, software-defined radios, robotics/motor control, privacy-oriented personal servers, musical instruments, lighting displays, and open standards that simplify and clarify embedded systems technology.",https://bbb.io/gsocideas
blender-foundation,Blender Foundation,https://summerofcode.withgoogle.com/media/org/blender-foundation/vdfgx9yyygdjjvym-360.png,https://www.blender.org,The Freedom to Create,"[{'name': 'mailingList', 'value': 'https://devtalk.blender.org/c/contributing-to-blender/summer-of-code/15'}, {'name': 'chat', 'value': 'https://blender.chat/channel/gsoc-2024'}, {'name': 'blog', 'value': 'https://devtalk.blender.org/c/contributing-to-blender/summer-of-code/15'}]",2022-03-08T14:43:00.972050Z,"['c', 'python', 'opengl', 'c++', 'vulkan']","['games', 'graphics', '3d', 'rendering', 'animation']","['End user applications', 'Media']",2022,,"Blender is a free and open source 3D creation suite, providing individuals and small teams a complete pipeline for 3D graphics, modeling, animation and games.

Blender is being made by 100s of active volunteers from all around the world; by studios and individual artists, professionals and hobbyists, scientists and students, vfx experts and animators, and so on.  All of them are united by an interest to have access to a fully free/open source 3D creation pipeline. Blender Foundation supports and facilitates these goals - even employs a staff for that - but fully depends on the online community to achieve it.",https://developer.blender.org/docs/programs/gsoc/ideas/
brl-cad,BRL-CAD,https://summerofcode.withgoogle.com/media/org/brl-cad/4ec07aqdfrvygfed-360.png,https://opencax.github.io/,3D CAD & other computer-aided tech (CAx),"[{'name': 'chat', 'value': 'https://opencax.github.io'}, {'name': 'email', 'value': 'devs@brlcad.org'}, {'name': 'chat', 'value': 'https://brlcad.zulipchat.com'}, {'name': 'chat', 'value': 'https://web.libera.chat/?channel=#librecad'}, {'name': 'chat', 'value': 'https://web.libera.chat/?channel=#openscad'}, {'name': 'mailingList', 'value': 'https://sourceforge.net/p/ifcopenshell/discussion/'}, {'name': 'email', 'value': 'gsoc@kicad.org'}, {'name': 'facebook', 'value': 'https://fb.me/BRL-CAD'}]",2022-03-09T05:30:44.036764Z,"['python', 'c/c++', 'opengl', 'opencl', 'scripting']","['geometry', '2d/3d graphics', 'ray tracing', 'high-performance computing', 'deep neural net rendering']","['Media', 'Artificial Intelligence']",2022,,"<p>This is the place to be if you love computer graphics.  We do 2D/3D modeling, 3D printing, solid geometry, design, and more.  Depending on the project, you have the opportunity to work with C/C++, Python, OpenGL, OpenCL, Qt, Javascript, and more...  Help us develop open source computer-aided technologies (CAx)!</p>
<br>
<p>We operates as an umbrella organization (The OpenCAx Association) with several  CAx communities including:</p>
<br>
<ul>
<li> - KiCAD is an electronics design automation (EDA) suite
<li> - OpenSCAD is a solid 3D modeler with a rich syntax for programmable geometry.
<li> - LibreCAD is a 2D modeling system specializing in blueprint-style drawings and draftings.
<li> - IfcOpenShell is a library for working with standard IFC building model data.
<li> - BRL-CAD is a solid modeling suite with conversion and advanced solid ray tracing features.
<li> - Manifold is a solid geometry mesh processing library.
</ul>
<br>
<p>We want to select at least one student for each, so feel free to ask us where to start.</p>
<br>
<a href=""https://opencax.github.io""><img src=""https://summerofcode.withgoogle.com/media/org/brl-cad/4ec07aqdfrvygfed-360.png""></a>",https://opencax.github.io/project-proposals/
casbin,Casbin,https://summerofcode.withgoogle.com/media/org/casbin/tiqlcyqhyub20y9z-360.png,https://casbin.org,Authorization library that supports RBAC and ABAC,"[{'name': 'chat', 'value': 'https://discord.com/invite/qteNGWt8UY'}, {'name': 'email', 'value': 'admin@casbin.org'}, {'name': 'mailingList', 'value': 'casbin@googlegroups.com'}, {'name': 'blog', 'value': 'https://casbin.org/blog'}]",2022-03-08T14:43:04.980041Z,"['javascript', 'java', 'go', 'OIDC', 'OAuth']","['security', 'cloud', 'authorization', 'IAM', 'Authentication']","['Web', 'Security']",2022,,"Casbin is a powerful and efficient open-source access control library. It provides support for enforcing authorization based on various access control models like ACL, RBAC, ABAC for Golang, Java, Node.js, PHP, Python, .NET (C#), Delphi and Rust.

What Casbin does:

- Enforce the policy in the classic {subject, object, action} form or a customized form as you defined, both allow and deny authorizations are supported.
- Handle the storage of the access control model and its policy.
- Manage the role-user mappings and role-role mappings (aka role hierarchy in RBAC). Support built-in superuser like root or administrator.
- A superuser can do anything without explict permissions.
- Multiple built-in operators to support the rule matching. For example, keyMatch can map a resource key /foo/bar to the pattern /foo*.

What Casbin does NOT do:

- Authentication (aka verify username and password when a user logs in) Manage the list of users or roles. I believe it's more convenient for the project itself to manage these entities.
- Users usually have their passwords, and Casbin is not designed as a password container. However, Casbin stores the user-role mapping for the RBAC scenario.

For more details, see: https://casbin.org/",https://github.com/casbin/SummerOfCode2023
cbioportal-for-cancer-genomics,cBioPortal for Cancer Genomics,https://summerofcode.withgoogle.com/media/org/cbioportal-for-cancer-genomics/fdxtjhb0urtqcyfe-360.png,https://www.cbioportal.org/,Aid discovery in complex cancer genomics data,"[{'name': 'chat', 'value': 'https://slack.cbioportal.org'}, {'name': 'twitter', 'value': 'https://twitter.com/cbioportal'}]",2022-03-08T14:43:06.267094Z,"['mysql', 'javascript', 'java', 'react', 'typescript']","['genomics', 'cancer', 'bioinformatics', 'big data', 'precision medicine']","['Science and medicine', 'Artificial Intelligence']",2022,,"The cBioPortal for Cancer Genomics is a resource designed to provide broad community access to cancer genomic data. It provides a unique user­-friendly and ""biology­-centric computational user interface"", with the goal of making genomic data more easily accessible to translational scientists, biologists, and clinicians. The interface was explicitly built and continues to evolve with careful usability studies involving multiple biological and clinical users, and an active and engaged user base.

The public instance of cBioPortal (https://cbioportal.org/) is now one of the most popular online resources for cancer genomics data and attracts more than 4,000 unique visitors (cancer researchers and clinicians) per day. The two papers documenting the cBioPortal Cerami et al. Cancer Discov. 2012 & Gao et al. Sci. Signal. 2013 have been cited more than 5,600 and 5,100 times, respectively, since their publication. There are more than 30 actively used cBioPortal instances in hospitals, universities, pharmaceutical companies, and other institutes all over the globe.

We are a group of software engineers, bioinformaticians, and cancer biologists building software solutions for precision medicine for cancer patients. Our overall goal is to build infrastructure to support clinical decisions for personalized cancer treatment by utilizing “big data” of cancer genomics and patient clinical profiles. Our multi-institutional team currently has more than 30 active members, primarily from Memorial Sloan Kettering Cancer Center,  the Dana-Farber Cancer Institute, Princess Margaret Cancer Centre, Children's Hospital of Philadelphia, and The Hyve, a bioinformatics company from the Netherlands.",https://github.com/cBioPortal/GSoC/issues?q=is%3Aissue+is%3Aopen+sort%3Aupdated-desc+label%3AGSoC-2024
ccextractor-development,CCExtractor Development,https://summerofcode.withgoogle.com/media/org/ccextractor-development/xjqt8fksfnyqyqrd-360.png,https://www.ccextractor.org,"TV, Rust, Flutter, Linux, VR and C. In any order.","[{'name': 'chat', 'value': 'https://ccextractor.org/public/general/support/'}, {'name': 'email', 'value': 'gsoc@ccextractor.org'}, {'name': 'mailingList', 'value': 'https://groups.google.com/g/ccextractor-dev'}]",2022-03-08T14:43:06.773687Z,"['c', 'linux', 'rust', 'flutter']","['vr', 'linux', 'video', 'subtitles', 'mobile']","['End user applications', 'Media']",2022,,"CCExtractor Development is the creator of the de-facto captions extraction tool - CCExtractor. It is the one tool that is free, portable, open source and community managed that can take a recording from a TV show and generate an external subtitle file for it.

If you regularly watch content with subtitles you download from fan sites - you should know that the source file is most likely generated by CCExtractor. If you are a student in a university that uses subtitles for natural language study, you should know that most likely we are involved somehow.

While we already support subtitles from North America, Europe, Australia and more, our world map is not yet complete. We are actively looking for students that want to help us fill the gaps. We also want to automate many of the processes that are currently done manually, such as achieving perfect sync, our media file management.

In addition to continuously evolve our core tool, we have a growing number of new projects: support, AI, rclone, cloud, flutter, peer-to-peer and a few more that are starting to take shape.

The best part is - students have flexibility of choosing projects from a wide range of topics & technologies and even propose their own. We provide exceptional resources for students. Read more about the perks on our website.

We’re very excited to take part in GSoC for the 9th time. Most of our past students are still involved and are active in the community, which simply goes on to show how friendly and approachable is the environment. If you want to be a part of such community and help achieve our goals, come join our Slack group or mailing list!",https://ccextractor.org/docs/ideas_page_for_summer_of_code_2024/
center-for-translational-data-science,Center for Translational Data Science,https://summerofcode.withgoogle.com/media/org/center-for-translational-data-science/bc61hj7tocvmpw6p-360.png,https://ctds.uchicago.edu,Develop translational data science.,"[{'name': 'email', 'value': 'ctds-jobs@lists.uchicago.edu'}]",2022-03-08T14:43:07.529807Z,"['python', 'aws']","['bioinformatics', 'data science', 'cloud', 'Data Meshes']","['Science and medicine', 'Data']",2022,,"We develop and operate large-scale data platforms to support research in topics of societal interest, including cancer, cardiovascular disease, inflammatory bowel disease (IBD), birth defects, veterans’ health, pain management, opioid use disorder, and environmental science. We also develop new machine learning and AI algorithms over the data in our platforms.",https://docs.google.com/document/d/1wviVU5ujSiq3qpu8hyMBryoxdU9e6pKsz0G15RjyGdY/edit?usp=sharing
ceph,Ceph,https://summerofcode.withgoogle.com/media/org/ceph/rvqqprqtyq0rfrcc-360.png,https://ceph.io/en/,The Future of Storage,"[{'name': 'mailingList', 'value': 'https://ceph.io/en/community/connect/'}, {'name': 'chat', 'value': 'https://join.slack.com/t/ceph-storage/shared_invite/zt-1n8yigss2-yYg099VlTiGMCLIziG_h4Q'}, {'name': 'blog', 'value': 'https://ceph.io/en/news/blog/'}, {'name': 'twitter', 'value': 'https://twitter.com/ceph'}]",2022-03-08T14:43:07.880449Z,"['python', 'javascript', 'c++']","['distributed systems', 'Software-Defined-Storage']","['Data', 'Infrastructure and cloud']",2022,,"An open-source storage platform that implements storage on a single distributed computer cluster and provides a 3-in-1 interface for object-, block- and file-level storage.",https://ceph.io/en/developers/google-summer-of-code/
cern-hsf,CERN-HSF,https://summerofcode.withgoogle.com/media/org/cern-hsf/cjus658sjzba5zhg-360.png,http://hepsoftwarefoundation.org/activities/gsoc.html,Umbrella for Particle Physics-related projects,"[{'name': 'email', 'value': 'hsf-gsoc-admin@googlegroups.com'}, {'name': 'twitter', 'value': 'https://twitter.com/hepsoftfound'}]",2022-03-08T14:43:08.289064Z,"['python', 'c/c++', 'data analysis', 'artificial intelligence', 'container orchestration']","['machine learning', 'big data', 'algorithmics', 'particle physics', 'Performance Optimisation']","['Science and medicine', 'Artificial Intelligence']",2022,,"CERN-HSF (High-Energy Physics Software Foundation) is the umbrella organization for high-energy physics-related projects in GSoC. The HEP Software Foundation (http://hepsoftwarefoundation.org/) facilitates the coordination of common international efforts in high-energy physics software and computing.

CERN (European Organization for Nuclear Research, https://home.cern) has participated in GSoC since 2011 as the CERN-SFT group, which provides common software for CERN's experiments. In 2017, the program expanded to include many software projects from the whole field of high-energy physics. The vast majority of our GSoC projects do not require any physics knowledge.

The experiments at CERN, such as the Large Hadron Collider, the world’s largest and most powerful particle accelerator (http://home.cern/topics/large-hadron-collider) try to answer fundamental questions about the Universe. For example, what is the nature of mass? What are the elementary building blocks of the Universe? What was the early Universe like? What is the nature of dark matter and dark energy? Why is there an asymmetry between matter and antimatter? In 2012, LHC experiments announced the discovery of a new particle, the Higgs Boson, that helps explain how particles obtain mass. Also, CERN is the birthplace of the World Wide Web. Today, particle physicists are working on analyzing the data from the experiments to study the properties of the newly discovered particle and to search for new physics, such as dark matter or extra dimensions. This requires a lot of sophisticated software.

The open-source high-energy physics projects to which students can contribute during GSoC span many high-energy physics software projects: data analysis, detector and accelerator simulation, event reconstruction, data management and many others. We look forward to your contributions!",https://hepsoftwarefoundation.org/gsoc/2024/summary.html
cgal-project,CGAL Project,https://summerofcode.withgoogle.com/media/org/cgal-project/9ubuadbe0eg5xfcw-360.png,https://www.cgal.org,C++ library of computational geometry,"[{'name': 'email', 'value': 'gsoc-cgal@inria.fr'}]",2022-03-08T14:43:08.638431Z,"['c++', 'qt']","['geometry', 'mesh processing', 'computation geometry', 'geometry processing']",['Science and medicine'],2022,,"CGAL is a software library that offers a number of reliable geometric data structures and algorithms. CGAL components operate in 2D and 3D, and sometime in arbitrary dimensions. Examples of components include convex hulls, convex decomposition, Delaunay triangulations, Voronoi diagrams, polygonal surface mesh data-structures, mesh generation, Boolean operations, envelope computations, intersection detection, surface reconstruction, and subdivision surfaces.

CGAL is used in a variety of application domains such as CAD/CAM (computer aided design and modeling), GIS (geographic information systems), geophysics, image processing, molecular biology, robotics, motion planning, and graphics.

CGAL is written in C++ and rigorously adheres to the generic-programming paradigm.

CGAL became an Open Source project in 2003. Most of CGAL is under the GPL v3+ license, and some core parts are under the LGPL v3+. The semi-annual releases have currently about 10,000 downloads. CGAL is commercially supported by the spin-off company GeometryFactory.",https://github.com/CGAL/cgal/wiki/Project-Ideas
chaoss,CHAOSS,https://summerofcode.withgoogle.com/media/org/chaoss/omnpzqtoqzjmesi7-360.png,https://chaoss.community,Community Health Analytics Open Source Software,"[{'name': 'chat', 'value': 'https://chaoss-workspace.slack.com/archives/C031U5YC5F0'}, {'name': 'mailingList', 'value': 'chaoss@lists.linuxfoundation.org'}, {'name': 'twitter', 'value': 'https://twitter.com/chaossproj'}, {'name': 'blog', 'value': 'https://chaoss.community/blog'}]",2022-03-08T16:40:57.358964Z,"['python', 'postgresql', 'javascript', 'machine learning', 'airflow']","['Diversity Equity and Inclusion', 'open source software metrics', 'software sustainability', 'community building', 'security and software bill of materials']","['Data', 'Other']",2022,,"The importance of open source software is no longer in question and its importance raises important questions about how we understand the health of the open-source projects we rely on. Unhealthy projects can have negative impacts on the community involved in the project as well as organizations that rely on such projects. In response, people want to know more about the open-source projects they are engaged with. For example:

1. Open source contributors want to know where they should place their efforts and know that they are making an impact.

2. Open source communities want to attract new members, ensure consistent quality, and reward valuable members.
3. Open source companies want to know which communities to engage with, communicate the impact the organization has on the community, and evaluate the work of their employees within open source.

Open source foundations want to identify and respond to community needs, evaluate the impact of their work, and promote communities.
In response to these issues, the CHAOSS project develops metrics, practices, and software for making open source project health more understandable. By building measures of open source project health, CHAOSS seeks to improve the transparency and actionability of open source project health so that relevant stakeholders can make more informed decisions about open source project engagement.

The project goals are to:
1. Establish standard implementation-agnostic metrics for measuring community health

2. Produce integrated open source software for analyzing software community development

3. Develop programs for the deployment of metrics not attainable through online trace data

Build reproducible project health reports",https://github.com/chaoss/community/blob/main/GSoC-Ideas.md
checkstyle,checkstyle,https://summerofcode.withgoogle.com/media/org/checkstyle/e8ubktvaft8eljli-360.png,https://checkstyle.org,Helps to adheres of Java coding standard,"[{'name': 'chat', 'value': 'https://gitter.im/checkstyle/checkstyle'}, {'name': 'mailingList', 'value': 'https://groups.google.com/g/checkstyle-devel'}, {'name': 'blog', 'value': 'https://groups.google.com/g/checkstyle-devel'}]",2022-03-08T14:43:09.490778Z,"['java', 'antlr']","['static code analysis\u200e', 'code review tool', 'coding standards', 'coding conventions']","['Programming languages', 'Development tools']",2022,,Checkstyle is a development tool to help programmers write Java code that is easy to read and adheres to a coding standard. Our utility automates the process of checking Java code to spare humans of this boring (but important) task. This makes it ideal for projects that want to enforce a coding standard. Each and every check also forces our users who are not familiar with these standards to read them and makes them think about why these standards exist.,https://github.com/checkstyle/checkstyle/wiki/Checkstyle-GSoC-2024-Project-Ideas
